,0
cluster1 cluster0 Single Link,0.33869602000836196
cluster1 cluster0 average,0.998331931658932
cluster1 cluster0 centriod,1.0736793966009945
cluster1 cluster0 complete Link,1.6302683308324601
cluster1 cluster2 Single Link,0.542441090862503
cluster1 cluster2 average,1.2962007557247008
cluster1 cluster2 centriod,1.9366321625828677
cluster1 cluster2 complete Link,1.8165588967015067
cluster2 cluster0 Single Link,0.30642813604100627
cluster2 cluster0 average,1.0165199601306745
cluster2 cluster0 centriod,1.2803517644257103
cluster2 cluster0 complete Link,1.7017454811297859
