,0
0,5248
1,7369
2,1577
3,4820
4,5182
5,2221
6,2606
7,6535
8,3756
9,7413
10,4668
11,8064
12,8035
13,4081
14,5125
15,4100
16,616
17,5640
18,3418
19,429
20,3272
21,5991
22,3745
23,2410
24,1812
25,4470
26,2017
27,7175
28,2991
29,6036
30,2282
31,2485
32,6062
33,1409
34,683
35,6258
36,6557
37,2435
38,604
39,5327
40,6115
41,4561
42,352
43,4920
44,7284
45,3817
46,6841
47,5323
48,802
49,2855
50,6737
51,520
52,7754
53,2734
54,7247
55,6717
56,1630
57,7549
58,6796
59,3109
60,5708
61,2159
62,4072
63,4658
64,3192
65,6755
66,320
67,3789
68,6361
69,177
70,5440
71,1016
72,5948
73,1665
74,1025
75,416
76,5978
77,2831
78,1671
79,974
80,3633
81,3643
82,8512
83,1586
84,7324
85,1573
86,4864
87,4127
88,3650
89,2096
90,5892
91,8338
92,1454
93,3388
94,1832
95,6536
96,5486
97,446
98,4446
99,5506
100,8330
101,3822
102,6364
103,5497
104,2153
105,3436
106,8320
107,1305
108,1306
109,4434
110,8218
111,1777
112,7582
113,5584
114,7540
115,7478
116,3401
117,6481
118,421
119,6489
120,411
121,5053
122,1553
123,1805
124,2430
125,6496
126,3387
127,4507
128,7537
129,3408
130,5529
131,2194
132,7492
133,7495
134,2671
135,6532
136,7398
137,1545
138,5076
139,1814
140,1349
141,125
142,2271
143,5850
144,1903
145,7897
146,4775
147,5996
148,3635
149,3638
150,4880
151,4758
152,3138
153,7859
154,207
155,7856
156,6030
157,1042
158,7834
159,4740
160,2752
161,216
162,4862
163,2369
164,1432
165,2769
166,2175
167,232
168,3593
169,5905
170,3599
171,3604
172,2073
173,4804
174,2094
175,7920
176,5876
177,246
178,5874
179,5961
180,4855
181,250
182,6055
183,3679
184,6079
185,7798
186,8136
187,1163
188,8140
189,6221
190,2164
191,346
192,8150
193,6247
194,6254
195,6271
196,2234
197,1517
198,6305
199,1357
